date,city,state,victim_age,victim_gender,offense_type,weapon,description,reported_by,arrest,domestic,id,Date,City,State,Offense_Type,Weapon,Victim_Gender,Arrest,Domestic
2023-06-07 15:13:00,Jaipur,Rajasthan,54.0,Male,Domestic Violence,Gun,Description 17,Officer 17,True,Yes,17.0,,,,,,,,
2021-02-17 22:32:00,Pune,West Bengal,35.0,Female,Assault,,Description 18,Officer 18,False,No,18.0,,,,,,,,
2023-07-14 10:30:00,Mumbai,Rajasthan,50.0,Male,Sexual Assault,,Description 19,Officer 19,True,Yes,19.0,,,,,,,,
2021-07-25 12:10:00,Pune,Tamil Nadu,39.0,Male,Robbery,Knife,Description 20,Officer 20,True,Yes,20.0,,,,,,,,
2021-12-16 01:53:00,Kolkata,West Bengal,21.0,Other,Murder,Knife,Description 21,Officer 21,False,Yes,21.0,,,,,,,,
2020-01-09 07:48:00,Jaipur,Uttar Pradesh,38.0,Female,Murder,Hand,Description 22,Officer 22,False,Yes,22.0,,,,,,,,
2023-01-10 06:35:00,Lucknow,Karnataka,42.0,Other,Other,Stick,Description 23,Officer 23,True,No,23.0,,,,,,,,
2024-01-09 05:12:00,Kolkata,West Bengal,24.0,Female,Robbery,,Description 24,Officer 24,False,No,24.0,,,,,,,,
2020-12-21 05:09:00,Lucknow,Karnataka,55.0,Female,Sexual Assault,Knife,Description 25,Officer 25,True,Yes,25.0,,,,,,,,
2022-03-18 15:06:00,Hyderabad,Rajasthan,18.0,Male,Assault,Stick,Description 26,Officer 26,True,Yes,26.0,,,,,,,,
2022-07-28 11:30:00,Jaipur,West Bengal,26.0,Other,Domestic Violence,Hand,Description 27,Officer 27,True,No,27.0,,,,,,,,
2021-03-25 00:01:00,Lucknow,Maharashtra,24.0,Male,Murder,,Description 28,Officer 28,True,No,28.0,,,,,,,,
2020-05-20 07:36:00,Ahmedabad,West Bengal,23.0,Female,Sexual Assault,Knife,Description 29,Officer 29,True,Yes,29.0,,,,,,,,
2023-06-18 17:09:00,Mumbai,Karnataka,50.0,Other,Other,Gun,Description 30,Officer 30,False,Yes,30.0,,,,,,,,
2020-12-05 06:40:00,Hyderabad,Uttar Pradesh,23.0,Male,Assault,Gun,Description 31,Officer 31,True,Yes,31.0,,,,,,,,
2020-03-29 14:07:00,Mumbai,Tamil Nadu,53.0,Male,Assault,,Description 32,Officer 32,False,Yes,32.0,,,,,,,,
2020-10-03 00:51:00,Hyderabad,Maharashtra,28.0,Other,Domestic Violence,Hand,Description 33,Officer 33,False,Yes,33.0,,,,,,,,
2023-08-18 11:47:00,Lucknow,Rajasthan,55.0,Male,Domestic Violence,,Description 34,Officer 34,True,Yes,34.0,,,,,,,,
2023-04-18 00:03:00,Delhi,Rajasthan,34.0,Other,Assault,Knife,Description 35,Officer 35,True,No,35.0,,,,,,,,
2021-11-03 10:49:00,Lucknow,Maharashtra,49.0,Male,Other,Stick,Description 36,Officer 36,False,No,36.0,,,,,,,,
2020-03-31 01:43:00,Lucknow,Gujarat,31.0,Male,Domestic Violence,Gun,Description 37,Officer 37,True,No,37.0,,,,,,,,
2020-06-11 10:10:00,Pune,Maharashtra,30.0,Female,Assault,Gun,Description 38,Officer 38,False,No,38.0,,,,,,,,
2023-09-24 18:59:00,Pune,Karnataka,50.0,Female,Robbery,Stick,Description 39,Officer 39,False,No,39.0,,,,,,,,
2020-08-17 22:08:00,Jaipur,West Bengal,53.0,Female,Domestic Violence,Stick,Description 40,Officer 40,True,No,40.0,,,,,,,,
2020-02-17 05:13:00,Pune,Telangana,54.0,Male,Homicide,Stick,Description 41,Officer 41,True,Yes,41.0,,,,,,,,
2020-02-23 01:32:00,Delhi,Rajasthan,56.0,Female,Robbery,Hand,Description 42,Officer 42,False,No,42.0,,,,,,,,
2020-01-07 01:14:00,Delhi,Rajasthan,31.0,Female,Homicide,Gun,Description 43,Officer 43,True,No,43.0,,,,,,,,
2020-09-30 20:44:00,Kolkata,West Bengal,46.0,Male,Sexual Assault,Hand,Description 44,Officer 44,True,No,44.0,,,,,,,,
2021-05-01 00:23:00,Delhi,Rajasthan,24.0,Other,Assault,Gun,Description 45,Officer 45,True,Yes,45.0,,,,,,,,
2023-04-04 02:07:00,Lucknow,Telangana,34.0,Male,Robbery,Hand,Description 46,Officer 46,False,Yes,46.0,,,,,,,,
2022-02-13 13:35:00,Lucknow,Karnataka,26.0,Male,Domestic Violence,Hand,Description 47,Officer 47,False,Yes,47.0,,,,,,,,
2020-05-30 22:07:00,Ahmedabad,Delhi,32.0,Other,Other,,Description 48,Officer 48,True,No,48.0,,,,,,,,
2022-05-27 02:47:00,Lucknow,Karnataka,57.0,Male,Homicide,Stick,Description 49,Officer 49,False,Yes,49.0,,,,,,,,
2021-10-26 09:51:00,Hyderabad,Maharashtra,55.0,Female,Homicide,Knife,Description 50,Officer 50,False,No,50.0,,,,,,,,
2020-12-18 10:11:00,Kolkata,Karnataka,50.0,Female,Domestic Violence,,Description 51,Officer 51,True,Yes,51.0,,,,,,,,
2021-12-06 11:34:00,Kolkata,Tamil Nadu,32.0,Male,Robbery,Knife,Description 52,Officer 52,False,No,52.0,,,,,,,,
2023-12-09 17:58:00,Lucknow,Maharashtra,42.0,Female,Other,Knife,Description 53,Officer 53,False,Yes,53.0,,,,,,,,
2020-07-29 18:45:00,Kolkata,Maharashtra,54.0,Male,Domestic Violence,Gun,Description 54,Officer 54,False,No,54.0,,,,,,,,
2020-09-03 14:16:00,Ahmedabad,Gujarat,44.0,Male,Assault,,Description 55,Officer 55,True,Yes,55.0,,,,,,,,
2023-01-24 10:46:00,Bangalore,Telangana,46.0,Other,Other,Knife,Description 56,Officer 56,False,Yes,56.0,,,,,,,,
2020-02-12 22:38:00,Jaipur,Uttar Pradesh,39.0,Male,Robbery,Stick,Description 57,Officer 57,True,No,57.0,,,,,,,,
2020-09-05 13:03:00,Pune,Telangana,36.0,Other,Homicide,Hand,Description 58,Officer 58,True,No,58.0,,,,,,,,
2021-02-11 07:45:00,Mumbai,Telangana,52.0,Female,Robbery,Hand,Description 59,Officer 59,False,No,59.0,,,,,,,,
2022-03-14 13:22:00,Delhi,Maharashtra,50.0,Other,Murder,Hand,Description 60,Officer 60,True,No,60.0,,,,,,,,
2023-08-13 05:16:00,Lucknow,Tamil Nadu,57.0,Female,Robbery,Stick,Description 61,Officer 61,True,No,61.0,,,,,,,,
2023-10-26 21:44:00,Lucknow,Rajasthan,19.0,Female,Robbery,Stick,Description 62,Officer 62,True,Yes,62.0,,,,,,,,
2023-02-15 01:39:00,Hyderabad,Karnataka,31.0,Male,Other,Hand,Description 63,Officer 63,True,No,63.0,,,,,,,,
2022-08-08 02:27:00,Jaipur,West Bengal,47.0,Other,Homicide,Gun,Description 64,Officer 64,False,No,64.0,,,,,,,,
2022-09-18 08:38:00,Hyderabad,Rajasthan,47.0,Female,Homicide,,Description 65,Officer 65,False,No,65.0,,,,,,,,
2022-06-25 07:00:00,Ahmedabad,Karnataka,36.0,Female,Robbery,Hand,Description 66,Officer 66,True,Yes,66.0,,,,,,,,
2023-07-18 18:23:00,Pune,Delhi,46.0,Female,Domestic Violence,Hand,Description 67,Officer 67,True,Yes,67.0,,,,,,,,
2022-06-17 18:50:00,Bangalore,Delhi,32.0,Other,Robbery,Gun,Description 68,Officer 68,False,No,68.0,,,,,,,,
2021-07-12 08:41:00,Jaipur,West Bengal,49.0,Male,Sexual Assault,Hand,Description 69,Officer 69,True,Yes,69.0,,,,,,,,
2020-04-23 20:36:00,Pune,Maharashtra,36.0,Other,Sexual Assault,Stick,Description 70,Officer 70,True,Yes,70.0,,,,,,,,
2022-02-04 11:12:00,Delhi,Telangana,58.0,Male,Domestic Violence,Stick,Description 71,Officer 71,True,Yes,71.0,,,,,,,,
2021-04-05 05:49:00,Ahmedabad,Telangana,39.0,Other,Domestic Violence,Stick,Description 72,Officer 72,True,Yes,72.0,,,,,,,,
2020-09-03 18:16:00,Lucknow,Telangana,27.0,Male,Assault,Knife,Description 73,Officer 73,False,Yes,73.0,,,,,,,,
2021-12-19 00:16:00,Kolkata,Tamil Nadu,60.0,Female,Other,Knife,Description 74,Officer 74,True,No,74.0,,,,,,,,
2020-07-13 19:20:00,Delhi,West Bengal,56.0,Other,Homicide,Gun,Description 75,Officer 75,True,No,75.0,,,,,,,,
2024-01-07 19:28:00,Delhi,Maharashtra,39.0,Other,Domestic Violence,,Description 76,Officer 76,False,No,76.0,,,,,,,,
2022-01-02 04:27:00,Hyderabad,Tamil Nadu,38.0,Male,Sexual Assault,Gun,Description 77,Officer 77,False,Yes,77.0,,,,,,,,
2020-03-15 03:44:00,Mumbai,Uttar Pradesh,33.0,Female,Sexual Assault,Knife,Description 78,Officer 78,False,No,78.0,,,,,,,,
2021-09-24 00:07:00,Ahmedabad,Rajasthan,23.0,Male,Murder,Gun,Description 79,Officer 79,False,No,79.0,,,,,,,,
2020-07-04 13:57:00,Mumbai,Maharashtra,37.0,Male,Robbery,Hand,Description 80,Officer 80,False,No,80.0,,,,,,,,
2024-02-06 17:34:00,Chennai,Gujarat,56.0,Female,Murder,Hand,Description 81,Officer 81,True,No,81.0,,,,,,,,
2023-12-30 03:28:00,Lucknow,Maharashtra,55.0,Other,Assault,Hand,Description 82,Officer 82,True,Yes,82.0,,,,,,,,
2022-05-12 11:30:00,Mumbai,Delhi,55.0,Male,Homicide,,Description 83,Officer 83,False,Yes,83.0,,,,,,,,
2023-12-13 20:32:00,Chennai,Karnataka,56.0,Female,Robbery,Hand,Description 84,Officer 84,False,Yes,84.0,,,,,,,,
2020-04-10 02:29:00,Bangalore,Gujarat,24.0,Female,Murder,Hand,Description 85,Officer 85,True,No,85.0,,,,,,,,
2023-08-11 07:08:00,Lucknow,Karnataka,55.0,Female,Robbery,Stick,Description 86,Officer 86,True,Yes,86.0,,,,,,,,
2023-09-25 17:10:00,Lucknow,Telangana,59.0,Other,Domestic Violence,Stick,Description 87,Officer 87,True,No,87.0,,,,,,,,
2023-03-15 08:03:00,Chennai,Delhi,53.0,Male,Murder,Hand,Description 88,Officer 88,True,No,88.0,,,,,,,,
2022-02-01 08:29:00,Hyderabad,Uttar Pradesh,39.0,Female,Murder,Stick,Description 89,Officer 89,True,Yes,89.0,,,,,,,,
2021-01-15 20:07:00,Lucknow,Tamil Nadu,34.0,Other,Robbery,Stick,Description 90,Officer 90,True,Yes,90.0,,,,,,,,
2021-05-10 14:05:00,Lucknow,Gujarat,25.0,Female,Assault,Hand,Description 91,Officer 91,False,No,91.0,,,,,,,,
2021-12-27 13:29:00,Hyderabad,Karnataka,47.0,Male,Homicide,,Description 92,Officer 92,False,No,92.0,,,,,,,,
2021-08-09 16:31:00,Bangalore,Tamil Nadu,26.0,Other,Murder,Stick,Description 93,Officer 93,False,Yes,93.0,,,,,,,,
2023-11-05 21:58:00,Lucknow,Delhi,46.0,Male,Homicide,Knife,Description 94,Officer 94,True,No,94.0,,,,,,,,
2023-11-20 02:50:00,Kolkata,West Bengal,33.0,Female,Other,,Description 95,Officer 95,True,Yes,95.0,,,,,,,,
2020-08-16 03:28:00,Chennai,Rajasthan,23.0,Other,Murder,Gun,Description 96,Officer 96,True,No,96.0,,,,,,,,
2022-07-24 12:57:00,Lucknow,Rajasthan,30.0,Female,Assault,,Description 97,Officer 97,True,Yes,97.0,,,,,,,,
2021-02-01 16:54:00,Kolkata,Gujarat,47.0,Male,Murder,Stick,Description 98,Officer 98,False,Yes,98.0,,,,,,,,
2020-07-07 22:36:00,Bangalore,Tamil Nadu,25.0,Other,Assault,Gun,Description 99,Officer 99,True,Yes,99.0,,,,,,,,
2021-05-13 04:26:00,Mumbai,Karnataka,55.0,Female,Robbery,Hand,Description 100,Officer 100,True,Yes,100.0,,,,,,,,
2023-02-24 22:02:00,Lucknow,Uttar Pradesh,27.0,Other,Murder,Gun,Description 101,Officer 101,True,No,101.0,,,,,,,,
2020-04-18 05:18:00,Delhi,Rajasthan,59.0,Female,Homicide,Stick,Description 102,Officer 102,True,No,102.0,,,,,,,,
2023-07-15 03:52:00,Lucknow,Rajasthan,36.0,Female,Robbery,,Description 103,Officer 103,True,Yes,103.0,,,,,,,,
2021-04-11 05:05:00,Mumbai,Telangana,45.0,Male,Other,Hand,Description 104,Officer 104,True,No,104.0,,,,,,,,
2020-10-05 23:00:00,Pune,Delhi,45.0,Female,Murder,Stick,Description 105,Officer 105,False,Yes,105.0,,,,,,,,
2021-11-17 01:35:00,Lucknow,Tamil Nadu,44.0,Other,Murder,Knife,Description 106,Officer 106,True,No,106.0,,,,,,,,
2023-01-22 06:06:00,Delhi,Delhi,24.0,Female,Murder,Gun,Description 107,Officer 107,False,No,107.0,,,,,,,,
2021-05-23 12:58:00,Chennai,Gujarat,34.0,Male,Homicide,Knife,Description 108,Officer 108,True,Yes,108.0,,,,,,,,
2020-01-31 07:15:00,Pune,Delhi,44.0,Female,Robbery,,Description 109,Officer 109,False,No,109.0,,,,,,,,
2023-08-13 13:31:00,Jaipur,Telangana,50.0,Male,Assault,Knife,Description 110,Officer 110,False,Yes,110.0,,,,,,,,
2023-01-23 06:11:00,Kolkata,West Bengal,46.0,Other,Robbery,Hand,Description 111,Officer 111,False,Yes,111.0,,,,,,,,
2021-03-03 00:27:00,Mumbai,Karnataka,59.0,Female,Other,,Description 112,Officer 112,True,Yes,112.0,,,,,,,,
2023-11-25 17:55:00,Chennai,Maharashtra,32.0,Other,Domestic Violence,,Description 113,Officer 113,True,No,113.0,,,,,,,,
2024-01-21 04:32:00,Lucknow,Rajasthan,18.0,Other,Assault,Knife,Description 114,Officer 114,False,Yes,114.0,,,,,,,,
2021-06-15 22:47:00,Lucknow,Telangana,18.0,Female,Other,Knife,Description 115,Officer 115,False,No,115.0,,,,,,,,
2023-10-06 03:04:00,Ahmedabad,Gujarat,39.0,Other,Robbery,,Description 116,Officer 116,False,Yes,116.0,,,,,,,,
2022-03-16 17:42:00,Jaipur,Uttar Pradesh,40.0,Other,Homicide,Knife,Description 117,Officer 117,False,No,117.0,,,,,,,,
2022-09-11 15:31:00,Jaipur,Tamil Nadu,30.0,Female,Assault,Hand,Description 118,Officer 118,False,No,118.0,,,,,,,,
2021-02-22 11:50:00,Hyderabad,Delhi,41.0,Female,Robbery,Stick,Description 119,Officer 119,False,No,119.0,,,,,,,,
2023-02-24 15:50:00,Mumbai,West Bengal,22.0,Male,Sexual Assault,Knife,Description 120,Officer 120,False,Yes,120.0,,,,,,,,
2021-02-26 13:19:00,Pune,Karnataka,42.0,Female,Homicide,Hand,Description 121,Officer 121,True,No,121.0,,,,,,,,
2021-12-30 20:47:00,Chennai,Maharashtra,52.0,Other,Robbery,Gun,Description 122,Officer 122,False,No,122.0,,,,,,,,
2023-05-01 00:50:00,Bangalore,Karnataka,23.0,Female,Murder,Gun,Description 123,Officer 123,True,Yes,123.0,,,,,,,,
2020-11-12 00:11:00,Chennai,Gujarat,26.0,Female,Other,Knife,Description 124,Officer 124,False,Yes,124.0,,,,,,,,
2022-04-30 13:58:00,Lucknow,Uttar Pradesh,38.0,Female,Assault,Knife,Description 125,Officer 125,False,No,125.0,,,,,,,,
2021-09-12 08:47:00,Jaipur,Gujarat,53.0,Female,Assault,Hand,Description 126,Officer 126,True,No,126.0,,,,,,,,
2023-04-13 10:37:00,Kolkata,Karnataka,54.0,Male,Robbery,Stick,Description 127,Officer 127,True,Yes,127.0,,,,,,,,
2020-11-15 09:18:00,Delhi,Tamil Nadu,40.0,Other,Homicide,Knife,Description 128,Officer 128,True,Yes,128.0,,,,,,,,
2022-10-16 06:20:00,Hyderabad,Karnataka,18.0,Female,Homicide,Stick,Description 129,Officer 129,True,Yes,129.0,,,,,,,,
2023-12-13 08:59:00,Jaipur,Gujarat,42.0,Male,Assault,Knife,Description 130,Officer 130,False,Yes,130.0,,,,,,,,
2020-05-22 07:47:00,Lucknow,West Bengal,30.0,Male,Sexual Assault,Hand,Description 131,Officer 131,False,Yes,131.0,,,,,,,,
2022-01-18 04:59:00,Bangalore,Gujarat,59.0,Female,Homicide,Gun,Description 132,Officer 132,False,Yes,132.0,,,,,,,,
2023-09-20 04:39:00,Lucknow,Telangana,31.0,Male,Assault,Knife,Description 133,Officer 133,False,Yes,133.0,,,,,,,,
2021-01-15 04:18:00,Kolkata,Karnataka,58.0,Other,Homicide,,Description 134,Officer 134,True,No,134.0,,,,,,,,
2023-02-19 09:59:00,Kolkata,West Bengal,41.0,Male,Sexual Assault,Knife,Description 135,Officer 135,False,Yes,135.0,,,,,,,,
2021-03-06 02:04:00,Lucknow,Uttar Pradesh,57.0,Male,Homicide,Hand,Description 136,Officer 136,False,No,136.0,,,,,,,,
2020-05-02 13:46:00,Bangalore,Tamil Nadu,39.0,Female,Domestic Violence,,Description 137,Officer 137,True,No,137.0,,,,,,,,
2022-11-03 12:46:00,Mumbai,Gujarat,56.0,Female,Sexual Assault,Gun,Description 138,Officer 138,False,No,138.0,,,,,,,,
2020-08-08 23:45:00,Hyderabad,Delhi,31.0,Other,Assault,,Description 139,Officer 139,True,No,139.0,,,,,,,,
2023-10-12 19:35:00,Jaipur,Gujarat,30.0,Male,Domestic Violence,,Description 140,Officer 140,True,No,140.0,,,,,,,,
2020-08-15 19:17:00,Hyderabad,Delhi,42.0,Female,Robbery,Knife,Description 141,Officer 141,True,Yes,141.0,,,,,,,,
2022-05-14 17:19:00,Hyderabad,Gujarat,21.0,Female,Homicide,Gun,Description 142,Officer 142,False,Yes,142.0,,,,,,,,
2023-09-16 09:05:00,Chennai,Rajasthan,30.0,Other,Sexual Assault,,Description 143,Officer 143,True,Yes,143.0,,,,,,,,
2022-06-06 09:10:00,Kolkata,Maharashtra,56.0,Male,Murder,Knife,Description 144,Officer 144,False,No,144.0,,,,,,,,
2023-06-10 20:30:00,Mumbai,Maharashtra,49.0,Female,Homicide,Knife,Description 145,Officer 145,False,Yes,145.0,,,,,,,,
2021-11-04 23:38:00,Lucknow,Uttar Pradesh,50.0,Female,Murder,Gun,Description 146,Officer 146,True,Yes,146.0,,,,,,,,
2021-05-05 04:38:00,Bangalore,Uttar Pradesh,47.0,Male,Domestic Violence,,Description 147,Officer 147,True,Yes,147.0,,,,,,,,
2023-08-30 04:49:00,Pune,Karnataka,19.0,Female,Domestic Violence,Gun,Description 148,Officer 148,False,No,148.0,,,,,,,,
2023-05-24 06:30:00,Bangalore,West Bengal,48.0,Female,Murder,Knife,Description 149,Officer 149,False,No,149.0,,,,,,,,
2023-10-11 23:22:00,Kolkata,Telangana,30.0,Other,Sexual Assault,,Description 150,Officer 150,False,No,150.0,,,,,,,,
2021-01-09 17:33:00,Hyderabad,Delhi,19.0,Other,Sexual Assault,Hand,Description 151,Officer 151,True,Yes,151.0,,,,,,,,
2023-04-03 01:16:00,Hyderabad,West Bengal,48.0,Other,Robbery,Hand,Description 152,Officer 152,True,Yes,152.0,,,,,,,,
2020-08-04 01:09:00,Ahmedabad,Telangana,42.0,Male,Homicide,Hand,Description 153,Officer 153,False,Yes,153.0,,,,,,,,
2024-01-08 18:04:00,Mumbai,Gujarat,22.0,Female,Murder,Knife,Description 154,Officer 154,True,Yes,154.0,,,,,,,,
2023-02-23 21:46:00,Ahmedabad,Rajasthan,33.0,Male,Murder,Hand,Description 155,Officer 155,True,No,155.0,,,,,,,,
2023-04-11 02:52:00,Hyderabad,West Bengal,37.0,Male,Murder,Hand,Description 156,Officer 156,False,No,156.0,,,,,,,,
2021-02-16 20:32:00,Pune,Telangana,24.0,Female,Sexual Assault,Knife,Description 157,Officer 157,False,No,157.0,,,,,,,,
2022-09-24 15:19:00,Lucknow,Telangana,48.0,Other,Robbery,,Description 158,Officer 158,False,No,158.0,,,,,,,,
2020-09-27 10:11:00,Pune,Uttar Pradesh,23.0,Male,Sexual Assault,Stick,Description 159,Officer 159,False,No,159.0,,,,,,,,
2020-02-22 22:37:00,Mumbai,Tamil Nadu,50.0,Other,Other,Hand,Description 160,Officer 160,True,Yes,160.0,,,,,,,,
2022-09-07 20:20:00,Pune,Rajasthan,45.0,Male,Domestic Violence,Knife,Description 161,Officer 161,True,No,161.0,,,,,,,,
2020-04-01 09:42:00,Kolkata,West Bengal,23.0,Female,Other,Gun,Description 162,Officer 162,True,Yes,162.0,,,,,,,,
2023-08-01 20:19:00,Kolkata,Delhi,38.0,Female,Robbery,Knife,Description 163,Officer 163,False,Yes,163.0,,,,,,,,
2021-05-23 11:00:00,Kolkata,Gujarat,30.0,Other,Domestic Violence,,Description 164,Officer 164,True,No,164.0,,,,,,,,
2021-10-04 06:32:00,Jaipur,West Bengal,31.0,Male,Domestic Violence,Knife,Description 165,Officer 165,False,Yes,165.0,,,,,,,,
2023-08-26 02:26:00,Delhi,Gujarat,58.0,Male,Other,Hand,Description 166,Officer 166,False,No,166.0,,,,,,,,
2022-05-08 05:46:00,Pune,Telangana,58.0,Male,Assault,Hand,Description 167,Officer 167,False,No,167.0,,,,,,,,
2024-02-03 07:54:00,Pune,Tamil Nadu,60.0,Female,Sexual Assault,,Description 168,Officer 168,False,Yes,168.0,,,,,,,,
2022-05-16 18:12:00,Lucknow,West Bengal,54.0,Other,Robbery,,Description 169,Officer 169,True,No,169.0,,,,,,,,
2020-04-25 09:55:00,Mumbai,Karnataka,25.0,Other,Assault,,Description 170,Officer 170,False,Yes,170.0,,,,,,,,
2023-03-22 14:28:00,Jaipur,Uttar Pradesh,22.0,Male,Other,Stick,Description 171,Officer 171,False,No,171.0,,,,,,,,
2020-11-15 09:07:00,Chennai,Uttar Pradesh,40.0,Female,Domestic Violence,,Description 172,Officer 172,False,No,172.0,,,,,,,,
2022-07-27 12:24:00,Chennai,Tamil Nadu,26.0,Female,Assault,Stick,Description 173,Officer 173,False,Yes,173.0,,,,,,,,
2023-12-28 05:50:00,Delhi,Uttar Pradesh,56.0,Male,Homicide,Gun,Description 174,Officer 174,False,No,174.0,,,,,,,,
2022-06-25 07:50:00,Lucknow,Rajasthan,49.0,Other,Homicide,,Description 175,Officer 175,True,Yes,175.0,,,,,,,,
2022-01-07 11:55:00,Chennai,Delhi,26.0,Female,Robbery,Knife,Description 176,Officer 176,True,No,176.0,,,,,,,,
2020-03-17 13:45:00,Chennai,Delhi,30.0,Male,Murder,Hand,Description 177,Officer 177,True,Yes,177.0,,,,,,,,
2021-03-15 10:45:00,Delhi,Delhi,36.0,Female,Homicide,Stick,Description 178,Officer 178,False,No,178.0,,,,,,,,
2022-05-17 05:09:00,Mumbai,Karnataka,22.0,Other,Murder,Hand,Description 179,Officer 179,False,Yes,179.0,,,,,,,,
2021-07-16 22:51:00,Pune,West Bengal,39.0,Other,Robbery,Gun,Description 180,Officer 180,False,Yes,180.0,,,,,,,,
2022-06-07 12:25:00,Pune,Delhi,26.0,Male,Murder,Knife,Description 181,Officer 181,False,Yes,181.0,,,,,,,,
2022-11-03 18:28:00,Bangalore,West Bengal,19.0,Male,Assault,Hand,Description 182,Officer 182,True,Yes,182.0,,,,,,,,
2023-01-31 18:42:00,Bangalore,Telangana,39.0,Male,Homicide,Knife,Description 183,Officer 183,True,No,183.0,,,,,,,,
2023-06-13 07:56:00,Hyderabad,Delhi,25.0,Male,Other,Hand,Description 184,Officer 184,True,No,184.0,,,,,,,,
2023-08-04 19:07:00,Ahmedabad,Telangana,26.0,Female,Domestic Violence,,Description 185,Officer 185,False,Yes,185.0,,,,,,,,
2023-10-10 16:04:00,Hyderabad,Tamil Nadu,35.0,Male,Homicide,,Description 186,Officer 186,False,Yes,186.0,,,,,,,,
2020-05-23 02:16:00,Jaipur,Tamil Nadu,25.0,Female,Assault,,Description 187,Officer 187,False,Yes,187.0,,,,,,,,
2020-11-08 19:48:00,Ahmedabad,Gujarat,26.0,Male,Domestic Violence,Hand,Description 188,Officer 188,False,No,188.0,,,,,,,,
2023-08-14 02:36:00,Mumbai,Delhi,22.0,Male,Assault,Stick,Description 189,Officer 189,False,No,189.0,,,,,,,,
2022-05-29 18:43:00,Delhi,West Bengal,25.0,Other,Robbery,Stick,Description 190,Officer 190,False,No,190.0,,,,,,,,
2022-06-13 19:30:00,Lucknow,Delhi,43.0,Female,Homicide,Hand,Description 191,Officer 191,False,No,191.0,,,,,,,,
2020-06-29 13:36:00,Pune,Karnataka,33.0,Female,Robbery,Stick,Description 192,Officer 192,True,Yes,192.0,,,,,,,,
2022-11-12 06:54:00,Delhi,Delhi,28.0,Male,Murder,Hand,Description 193,Officer 193,True,No,193.0,,,,,,,,
2023-12-24 17:39:00,Chennai,Karnataka,25.0,Male,Other,,Description 194,Officer 194,False,No,194.0,,,,,,,,
2020-04-10 05:42:00,Lucknow,West Bengal,22.0,Female,Homicide,Knife,Description 195,Officer 195,False,Yes,195.0,,,,,,,,
2022-07-04 23:07:00,Bangalore,Gujarat,39.0,Female,Assault,,Description 196,Officer 196,True,No,196.0,,,,,,,,
2023-06-09 00:55:00,Pune,Gujarat,49.0,Other,Robbery,,Description 197,Officer 197,True,No,197.0,,,,,,,,
2022-03-21 15:35:00,Jaipur,Maharashtra,53.0,Male,Sexual Assault,Gun,Description 198,Officer 198,False,No,198.0,,,,,,,,
2020-04-23 13:07:00,Jaipur,Uttar Pradesh,21.0,Male,Homicide,,Description 199,Officer 199,True,No,199.0,,,,,,,,
2020-01-29 23:05:00,Delhi,Karnataka,58.0,Male,Domestic Violence,,Description 200,Officer 200,True,Yes,200.0,,,,,,,,
